SOLAR,9941,GREGORIAN 1941
1st,Wed,January 1 st
2nd,Thu,January 2 nd
3rd,Fri,January 3 rd
4th,Sat,January 4 th
5th,Sun,January 5 th
6th,Mon,January 6 th
7th,Tue,January 7 th
8th,Wed,January 8 th
9th,Thu,January 9 th
10th,Fri,January 10 th
11th,Sat,January 11 th
12th,Sun,January 12 th
13th,Mon     Full,January 13 th
14th,Tue,January 14 th
15th,Wed,January 15 th
16th,Thu,January 16 th
17th,Fri,January 17 th
18th,Sat,January 18 th
19th,Sun,January 19 th
20th,Mon,January 20 th
21st,Tue,January 21 st
22nd,Wed,January 22 nd
23rd,Thu,January 23 rd
24th,Fri,January 24 th
25th,Sat,January 25 th
26th,Sun,January 26 th
27th,Mon     New,January 27 th
28th,Tue,January 28 th
29th,Wed,January 29 th
30th,Thu,January 30 th
31st,Fri,January 31 st
32nd,Sat,Febuary 1 st
33rd,Sun,Febuary 2 nd
34th,Mon,Febuary 3 rd
35th,Tue,Febuary 4 th
36th,Wed,Febuary 5 th
36th,Thu,Febuary 6 th
38th,Fri,Febuary 7 th
39th,Sat,Febuary 8 th
40th,Sun,Febuary 9 th
41st,Mon,Febuary 10 th
42nd,Tue,Febuary 11 th
43rd,Wed     Full,Febuary 12 th
44th,Thu,Febuary 13 th
45th,Fri,Febuary 14 th
46th,Sat,Febuary 15 th
47th,Sun,Febuary 16 th
48th,Mon,Febuary 17 th
49th,Tue,Febuary 18 th
50th,Wed,Febuary 19 th
51st,Thu,Febuary 20 th
52nd,Fri,Febuary 21 st
53rd,Sat,Febuary 22 nd
54th,Sun,Febuary 23 rd
55th,Mon,Febuary 24 th
56th,Tue,Febuary 25 th
57th,Wed     New,Febuary 26 th
58th,Thu,Febuary 27 th
59th,Fri,Febuary 28 th
60th,Sat,March 1 st
61st,Sun,March 2 nd
62nd,Mon,March 3 rd
63rd,Tue,March 4 th
64th,Wed,March 5 th
65th,Thu,March 6 th
66th,Fri,March 7 th
67th,Sat,March 8 th
68th,Sun,March 9 th
69th,Mon,March 10 th
70th,Tue,March 11 th
71st,Wed,March 12 th
72nd,Thu     Full,March 13 th
73rd,Fri,March 14 th
74th,Sat,March 15 th
75th,Sun,March 16 th
76th,Mon,March 17 th
77th,Tue,March 18 th
78th,Wed,March 19 th
79th,Thu,March 20 th
80th EQ,Fri,March 21 st
81st,Sat,March 22 nd
82nd,Sun,March 23 rd
83rd,Mon,March 24 th
84th,Tue,March 25 th
85th,Wed,March 26 th
86th,Thu     New,March 27 th
87th,Fri,March 28 th
88th,Sat,March 29 th
89th,Sun,March 30 th
90th,Mon,March 31 st
91st,Tue,April 1 st
92nd,Wed,April 2 nd
93rd,Thu,April 3 rd
94th,Fri,April 4 th
95th,Sat,April 5 th
96th,Sun,April 6 th
97th,Mon,April 7 th
98th,Tue,April 8 th
99th,Wed,April 9 th
100th,Thu,April 10 th
101st,Fri     Full,April 11 th
102nd,Sat,April 12 th
103rd,Sun,April 13 th
104th,Mon,April 14 th
105th,Tue,April 15 th
106th,Wed,April 16 th
107th,Thu,April 17 th
108th,Fri,April 18 th
109th,Sat,April 19 th
110th,Sun,April 20 th
111th,Mon,April 21 st
112th,Tue,April 22 nd
113th,Wed,April 23 rd
114th,Thu,April 24 th
115th,Fri,April 25 th
116th,Sat     New,April 26 th
117th,Sun,April 27 th
118th,Mon,April 28 th
119th,Tue,April 29 th
120th,Wed,April 30 th
121st,Thu,May 1 st
122nd,Fri,May 2 nd
123rd,Sat,May 3 rd
124th,Sun,May 4 th
125th,Mon,May 5 th
126th,Tue,May 6 th
127th,Wed,May 7 th
128th,Thu,May 8 th
129th,Fri,May 9 th
130th,Sat,May 10 th
131st,Sun     Full,May 11 th
132nd,Mon,May 12 th
133rd,Tue,May 13 th
134th,Wed,May 14 th
135th,Thu,May 15 th
136th,Fri,May 16 th
137th,Sat,May 17 th
138th,Sun,May 18 th
139th,Mon,May 19 th
140th,Tue,May 20 th
141st,Wed,May 21 st
142nd,Thu,May 22 nd
143rd,Fri,May 23 rd
144th,Sat,May 24 th
145th,Sun,May 25 th
146th,Mon     New,May 26 th
147th,Tue,May 27 th
148th,Wed,May 28 th
149th,Thu,May 29 th
150th,Fri,May 30 th
151st,Sat,May 31 st
152nd,Sun,June 1 st
153rd,Mon,June 2 nd
154th,Tue,June 3 rd
155th,Wed,June 4 th
156th,Thu,June 5 th
157th,Fri,June 6 th
158th,Sat,June 7 th
159th,Sun,June 8 th
160th S,Mon     Full,June 9 th
161st,Tue,June 10 th
162nd,Wed,June 11 th
163rd,Thu,June 12 th
164th,Fri,June 13 th
165th,Sat,June 14 th
166th,Sun,June 15 th
167th,Mon,June 16 th
168th,Tue,June 17 th
169th,Wed,June 18 th
170th,Thu,June 19 th
171st,Fri,June 20 th
172nd,Sat,June 21 st
173rd,Sun,June 22 nd
174th,Mon,June 23 rd
175th,Tue     New,June 24 th
176th,Wed,June 25 th
177th,Thu,June 26 th
178th,Fri,June 27 th
179th,Sat,June 28 th
180th,Sun,June 29 th
181st,Mon,June 30 th
182nd,Tue,July 1 st
183rd,Wed,July 2 nd
184th,Thu,July 3 rd
185th,Fri,July 4 th
186th,Sat,July 5 th
187th,Sun,July 6 th
188th,Mon,July 7 th
189th,Tue     Full,July 8 th
190th,Wed,July 9 th
191st,Thu,July 10 th
192nd,Fri,July 11 th
193rd,Sat,July 12 th
194th,Sun,July 13 th
195th,Mon,July 14 th
196th,Tue,July 15 th
197th,Wed,July 16 th
198th,Thu,July 17 th
199th,Fri,July 18 th
200th,Sat,July 19 th
201st,Sun,July 20 th
202nd,Mon,July 21 st
203rd,Tue,July 22 nd
204th,Wed,July 23 rd
205th,Thu     New,July 24 th
206th,Fri,July 25 th
207th,Sat,July 26 th
208th,Sun,July 27 th
209th,Mon,July 28 th
210th,Tue,July 29 th
211th,Wed,July 30 th
212th,Thu,July 31 st
213th,Fri,August 1 st
214th,Sat,August 2 nd
215th,Sun,August 3 rd
216th,Mon,August 4 th
217th,Tue,August 5 th
218th,Wed,August 6 th
219th,Thu     Full,August 7 th
220th,Fri,August 8 th
221st,Sat,August 9 th
222nd,Sun,August 10 th
223rd,Mon,August 11 th
224th,Tue,August 12 th
225th,Wed,August 13 th
226th,Thu,August 14 th
227th,Fri,August 15 th
228th,Sat,August 16 th
229th,Sun,August 17 th
230th,Mon,August 18 th
231st,Tue,August 19 th
232nd,Wed,August 20 th
233rd,Thu,August 21 st
234th,Fri     New,August 22 nd
235th,Sat,August 23 rd
236th,Sun,August 24 th
237th,Mon,August 25 th
238th,Tue,August 26 th
239th,Wed,August 27 th
240th,Thu,August 28 th
241st,Fri,August 29 th
242nd,Sat,August 30 th
243rd,Sun,August 31 st
244th,Mon,September 1 st
245th,Tue,September 2 nd
246th,Wed,September 3 rd
247th,Thu,September 4 th
248th,Fri     Full,September 5 th
249th,Sat,September 6 th
250th,Sun,September 7 th
251st,Mon,September 8 th
252nd,Tue,September 9 th
253rd,Wed,September 10 th
254th,Thu,September 11 th
255th,Fri,September 12 th
256th,Sat,September 13 th
257th,Sun,September 14 th
258th,Mon,September 15 th
259th,Tue,September 16 th
260th,Wed,September 17 th
261st,Thu,September 18 th
262nd,Fri,September 19 th
263rd,Sat,September 20 th
264th,Sun     New,September 21 st
265th,Mon,September 22 nd
266th EQ,Tue,September 23 rd
267th,Wed,September 24 th
268th,Thu,September 25 th
269th,Fri,September 26 th
270th,Sat,September 27 th
271st,Sun,September 28 th
272nd,Mon,September 29 th
273rd,Tue,September 30 th
274th,Wed,October 1 st
275th,Thu,October 2 nd
276th,Fri,October 3 rd
277th,Sat,October 4 th
278th,Sun     Full,October 5 th
279th,Mon,October 6 th
280th,Tue,October 7 th
281st,Wed,October 8 th
282nd,Thu,October 9 th
283rd,Fri,October 10 th
284th,Sat,October 11 th
285th,Sun,October 12 th
286th,Mon,October 13 th
287th,Tue,October 14 th
288th,Wed,October 15 th
289th,Thu,October 16 th
290th,Fri,October 17 th
291st,Sat,October 18 th
292nd,Sun,October 19 th
293rd,Mon     New,October 20 th
294th,Tue,October 21 st
295th,Wed,October 22 nd
296th,Thu,October 23 rd
297th,Fri,October 24 th
298th,Sat,October 25 th
299th,Sun,October 26 th
300th,Mon,October 27 th
301st,Tue,October 28 th
302nd,Wed,October 29 th
303rd,Thu,October 30 th
304th,Fri,October 31 st
305th,Sat,November 1 st
306th,Sun,November 2 nd
307th,Mon,November 3 rd
308th,Tue     Full,November 4 th
309th,Wed,November 5 th
310th,Thu,November 6 th
311th,Fri,November 7 th
312th,Sat,November 8 th
313th,Sun,November 9 th
314th,Mon,November 10 th
315th,Tue,November 11 th
316th,Wed,November 12 th
317th,Thu,November 13 th
318th,Fri,November 14 th
319th,Sat,November 15 th
320th,Sun,November 16 th
321st,Mon,November 17 th
322nd,Tue,November 18 th
323rd,Wed     New,November 19 th
324th,Thu,November 20 th
325th,Fri,November 21 st
326th,Sat,November 22 nd
327th,Sun,November 23 rd
328th,Mon,November 24 th
329th,Tue,November 25 th
330th,Wed,November 26 th
331st,Thu,November 27 th
332nd,Fri,November 28 th
333rd,Sat,November 29 th
334th,Sun,November 30 th
335th,Mon,December 1 st
336th,Tue,December 2 nd
337th,Wed     Full,December 3 rd
338th,Thu,December 4 th
339th,Fri,December 5 th
340th,Sat,December 6 th
341st,Sun,December 7 th
342nd,Mon,December 8 th
343rd,Tue,December 9 th
344th,Wed,December 10 th
345th,Thu,December 11 th
346th,Fri,December 12 th
347th,Sat,December 13 th
348th,Sun,December 14 th
349th,Mon,December 15 th
350th,Tue,December 16 th
351st,Wed,December 17 th
352nd,Thu     New,December 18 th
353rd,Fri,December 19 th
354th,Sat,December 20 th
355th,Sun,December 21 st
356th,Mon,December 22 nd
357th,Tue,December 23 rd
358th,Wed,December 24 th
359th,Thu,December 25 th
360th,Fri,December 26 th
361st,Sat,December 27 th
362nd,Sun,December 28 th
363rd,Mon,December 29 th
364th,Tue,December 30 th
365th,Wed,December 31 st
366th,XXXXX,XXXXX
